True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,LR_prob_5,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,DT_prob_5,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,RF_prob_5,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,SVM_prob_5,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4,KNN_prob_5
1,1,0.1219670104983597,0.270711939192887,0.24865383304404717,0.09659341403436127,0.1340255995977431,0.12804820363260175,2,0.0,0.0,1.0,0.0,0.0,0.0,1,0.1,0.31,0.29,0.08,0.11,0.11,2,0.09666009202986973,0.2949551823026746,0.4736061445327588,0.023047422141576446,0.09834743916754306,0.013383719825576963,1,0.0,0.6,0.2,0.0,0.2,0.0
4,4,0.10319438670622284,0.0887644936939695,0.10999520773050571,0.1484894520769673,0.39562962676033303,0.15392683303200153,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.09,0.07,0.07,0.12,0.45,0.2,4,0.02075096889912121,0.02786888559904252,0.09258736300506049,0.03975250955899817,0.7918686053403515,0.027171667597425803,4,0.0,0.0,0.0,0.4,0.6,0.0
1,1,0.09648382441238774,0.5082893334617287,0.1743142923651625,0.06508360007690675,0.09779186225428681,0.05803708742952747,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.16,0.56,0.12,0.06,0.08,0.02,1,0.013753337226122915,0.9018434084564859,0.06923060961717753,0.0016946356884009748,0.013214503394682872,0.0002635056171301785,1,0.0,0.6,0.4,0.0,0.0,0.0
5,4,0.08580730378671703,0.10658457169609706,0.13221640610534138,0.11867850691064441,0.4189617224347413,0.13775148906645884,5,0.0,0.0,0.0,0.0,0.0,1.0,4,0.01,0.09,0.04,0.06,0.51,0.29,4,0.008220435748450331,0.023002295528279953,0.07566937092724259,0.019554396341286383,0.8636303095053334,0.00992319194940726,4,0.0,0.2,0.2,0.0,0.6,0.0
3,4,0.04465615141616676,0.059070510623390936,0.06972762455260685,0.16559758108270276,0.6025600965273735,0.058388035797759114,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.02,0.06,0.04,0.37,0.47,0.04,4,0.0006830666273143678,0.0025710166826375725,0.006782106161889616,0.018571880212181924,0.9708618080805407,0.0005301222354359984,4,0.0,0.2,0.0,0.0,0.8,0.0
5,5,0.07116117596011108,0.09642885230231187,0.1251506679155353,0.1232951831142997,0.18037904266257723,0.40358507804516475,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.04,0.02,0.05,0.03,0.12,0.74,5,0.0035572423841862817,0.005021402663998149,0.01293783141821803,0.01022576115986278,0.03154025460862684,0.9367175077651074,1,0.0,0.2,0.2,0.2,0.2,0.2
5,5,0.10495454756295297,0.10587426469190495,0.13738653475101553,0.1272861522650964,0.13565742112549975,0.3888410796035303,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.08,0.04,0.07,0.08,0.05,0.68,5,0.01960824620079838,0.01680290562315153,0.05612669829198048,0.0243724286860038,0.03863447416360966,0.8444552470344566,5,0.2,0.2,0.0,0.0,0.0,0.6
0,2,0.2511387891219292,0.08329010584133703,0.332281104699872,0.09014747218676027,0.15018239393875285,0.09296013421134879,2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.44,0.05,0.32,0.05,0.11,0.03,2,0.3190699789363732,0.016485373588081446,0.516513028944424,0.009005614528879262,0.13471331123320013,0.004212692769042037,2,0.2,0.0,0.6,0.0,0.2,0.0
1,0,0.35232129173303967,0.1103203699353204,0.24271132957342423,0.07686277955743337,0.12809570990241254,0.08968851929836984,4,0.0,0.0,0.0,0.0,1.0,0.0,0,0.55,0.09,0.23,0.03,0.08,0.02,0,0.5376541309118549,0.017370906924842826,0.39858105199025257,0.0048629907428045654,0.04008176901464034,0.001449150415604642,0,0.6,0.0,0.4,0.0,0.0,0.0
2,2,0.14253881070383725,0.2673876931317344,0.2729727317832439,0.0881519788099756,0.1539127651643205,0.0750360204068883,0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.14,0.24,0.45,0.06,0.09,0.02,1,0.08343310690492167,0.43762956019915894,0.36645151063651027,0.009342252487245283,0.10008859688820335,0.003054972883960349,1,0.2,0.4,0.4,0.0,0.0,0.0
