True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,LR_prob_5,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,DT_prob_5,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,RF_prob_5,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,SVM_prob_5,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4,KNN_prob_5
4,4,0.07285163962921681,0.08670636900780636,0.10549468645499516,0.1464854506835021,0.4160635628102933,0.1723982914141863,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.03,0.12,0.06,0.06,0.42,0.31,4,0.003764667836308442,0.004493782013704464,0.01950643576749758,0.018055035715188586,0.9255712408713768,0.02860883779592392,4,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0.405263918401948,0.15349880780077294,0.1669672466732442,0.06892314720963816,0.12161559853598272,0.08373128137841425,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.53,0.08,0.25,0.02,0.12,0.0,0,0.6166557084147761,0.04291782401864668,0.31063763508136777,0.0023824846107844055,0.0251286629773322,0.00227768489709251,0,0.4,0.2,0.2,0.0,0.2,0.0
3,3,0.10194075735396638,0.07404096851421606,0.12048296689475096,0.40256070526555765,0.13522777685424714,0.16574682511726174,2,0.0,0.0,1.0,0.0,0.0,0.0,3,0.13,0.08,0.07,0.57,0.1,0.05,3,0.012199565355151855,0.003137283268974147,0.01466627519169033,0.9379861073112197,0.01667072828890418,0.015340040584059291,3,0.0,0.0,0.0,1.0,0.0,0.0
5,5,0.09614361940231547,0.09968160803900498,0.14532030227331436,0.11041292761303935,0.12620826512516156,0.4222332775471642,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.02,0.1,0.16,0.07,0.14,0.51,5,0.011517557405908575,0.005223956528794584,0.019562818536882406,0.007029941437204375,0.011679375409926616,0.9449863506812834,5,0.0,0.2,0.0,0.0,0.0,0.8
1,1,0.04832238914891762,0.5583851488796775,0.08551154990898617,0.07433322943805461,0.16019860113374818,0.07324908149061576,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.04,0.58,0.06,0.05,0.24,0.03,1,0.0007941559134522436,0.93673258382047,0.0066005648743472645,0.0031912925973262276,0.052227532468667494,0.0004538703257368138,1,0.0,0.8,0.0,0.0,0.2,0.0
2,2,0.22674886162040833,0.08993338764842077,0.2891487466463505,0.11037009969934772,0.16134748248439507,0.12245142190107759,0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.25,0.14,0.3,0.05,0.16,0.1,2,0.3621094138725508,0.015988502009491427,0.5033610017802411,0.016924149556242364,0.09120868340057174,0.010408249380902514,0,0.6,0.0,0.4,0.0,0.0,0.0
3,3,0.028608974673717657,0.03155830953780317,0.026490622184025762,0.8199773141689485,0.054467855895093384,0.03889692354041144,3,0.0,0.0,0.0,1.0,0.0,0.0,3,0.03,0.03,0.05,0.82,0.06,0.01,3,9.624505733187331e-09,1.0533171439837855e-08,9.512397812027888e-09,0.9999342214894691,6.157051325412329e-05,4.178327202041661e-06,3,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0.28880841453020034,0.09815452813398329,0.391386462843188,0.08214515147941633,0.07192522392227349,0.06758021909093846,2,0.0,0.0,1.0,0.0,0.0,0.0,2,0.33,0.11,0.38,0.05,0.09,0.04,2,0.4234864829437512,0.01969709462288242,0.5464378856480242,0.0048929581931206,0.00482400910706714,0.0006615694851546214,2,0.4,0.0,0.6,0.0,0.0,0.0
0,0,0.24366735351847904,0.16619441616705455,0.19832379896611632,0.1088843761728259,0.1446527591969559,0.13827729597856842,4,0.0,0.0,0.0,0.0,1.0,0.0,0,0.3,0.24,0.18,0.1,0.14,0.04,0,0.36133323342373275,0.09109497565693615,0.37463897686911074,0.02670513080743949,0.13083153604364106,0.015396147199139803,0,0.4,0.2,0.2,0.2,0.0,0.0
1,1,0.04514374663354558,0.6980962947752777,0.0506373233516461,0.07343012065465294,0.08236524649050987,0.05032726809436777,2,0.0,0.0,1.0,0.0,0.0,0.0,1,0.05,0.47,0.11,0.1,0.2,0.07,1,6.602143019518973e-06,0.9954681152202361,0.00019561293600954088,0.001654763220352232,0.0025817053353441853,9.320114503845563e-05,1,0.0,0.6,0.0,0.2,0.2,0.0
3,3,0.05216647213569047,0.04461104957825609,0.07320215005290655,0.6332728198864631,0.09790923501897711,0.09883827332770673,3,0.0,0.0,0.0,1.0,0.0,0.0,3,0.09,0.02,0.18,0.57,0.1,0.04,3,1.405155381785909e-06,9.438561737929459e-07,1.7511623762077534e-06,0.9986557655888001,0.0008239740000384534,0.0005161602372295887,3,0.0,0.0,0.0,1.0,0.0,0.0
4,4,0.05864643595054501,0.06880180475245987,0.0718373777375987,0.2186706001092253,0.4408813397740346,0.1411624416761366,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.03,0.04,0.01,0.14,0.69,0.09,4,0.0025866046625846934,0.003748024474766285,0.006989197324390291,0.1614065535904664,0.8101163744555695,0.01515324549222302,4,0.0,0.0,0.0,0.4,0.6,0.0
0,0,0.4389919528586589,0.10388902186472117,0.20583766407304172,0.0699543692409967,0.1196568026004597,0.06167018936212195,2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.49,0.11,0.23,0.06,0.08,0.03,0,0.6406698549298936,0.012879163695056282,0.3277313076040014,0.0021541757074936925,0.016116333239608833,0.00044916482394607136,0,0.6,0.0,0.4,0.0,0.0,0.0
0,2,0.3286581760881239,0.08843279784031553,0.39743872840941297,0.06498712063984237,0.07396171461331902,0.04652146240898616,2,0.0,0.0,1.0,0.0,0.0,0.0,1,0.26,0.31,0.21,0.08,0.08,0.06,2,0.45039450659059443,0.023084148861585038,0.5096344286927882,0.005301889704110107,0.010941299298470318,0.000643726852451509,2,0.4,0.0,0.6,0.0,0.0,0.0
3,3,0.08455725967991227,0.0675190375156022,0.08043081119523157,0.4899004683448358,0.14470087824878078,0.1328915450156373,3,0.0,0.0,0.0,1.0,0.0,0.0,3,0.04,0.0,0.05,0.57,0.1,0.24,3,0.0037165677557082096,0.0018604525720157575,0.002862986940159774,0.9717437237159746,0.015496403587070013,0.004319865429071871,3,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0.10145948381876134,0.5299461958843754,0.10905162146088539,0.06474008502190322,0.10155009183077202,0.09325252198330254,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.09,0.67,0.1,0.02,0.08,0.04,1,0.0070981635320649175,0.9689712982068126,0.01519025375267183,0.0010721209994451562,0.006554430437403452,0.001113733071602168,1,0.2,0.8,0.0,0.0,0.0,0.0
2,5,0.11750628270361962,0.1100940914483907,0.1856729109440696,0.1145596306644982,0.22360884261738811,0.24855824162203374,5,0.0,0.0,0.0,0.0,0.0,1.0,2,0.11,0.15,0.26,0.14,0.12,0.22,4,0.06343073726423537,0.025888860905552105,0.2636838075609081,0.02132864882879287,0.4757433536230051,0.1499245918175063,4,0.0,0.0,0.2,0.0,0.6,0.2
